Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-14 20:43:00,"Ya ne tvoya mama убил Pekmeno (AK-74М, 15.86m)",AK-74М,15.86,Ya ne tvoya mama,Pekmeno
2023-11-14 20:43:00,"Serega Chesnok убил keks (Каменный нож, 0.82m)",Каменный нож,0.82,Serega Chesnok,keks
2023-11-14 20:44:00,"Mekeffi убил green tea (ВПО-136 ""Вепрь-КМ"", 22.43m)","ВПО-136 ""Вепрь-КМ""",22.43,Mekeffi,green tea
2023-11-14 20:44:00,"Ya ne tvoya mama убил Mekeffi (ОЦ-12 «Тисс», 13.44m)",ОЦ-12 «Тисс»,13.44,Ya ne tvoya mama,Mekeffi
2023-11-14 20:44:00,"[KeParY] fletti убил Whitenord (FN FAL, 4.23m)",FN FAL,4.23,[KeParY] fletti,Whitenord
2023-11-14 20:47:00,"woodoo убил goat (Винтовка Мосина, 76.91m)",Винтовка Мосина,76.91,woodoo,goat
2023-11-14 20:53:00,"Plotva убил ToNik (CMMG Mk47 Mutant, 105.21m)",CMMG Mk47 Mutant,105.21,Plotva,ToNik
2023-11-14 20:53:00,"Plotva убил el problemo (CMMG Mk47 Mutant, 58.36m)",CMMG Mk47 Mutant,58.36,Plotva,el problemo
2023-11-14 20:54:00,"Plotva убил OBLADAET (CMMG Mk47 Mutant, 71.36m)",CMMG Mk47 Mutant,71.36,Plotva,OBLADAET
2023-11-14 20:56:00,"GG убил [B.I.T.S]?Aslanbek? (СВ-98, 798.72m)",СВ-98,798.72,GG,[B.I.T.S]?Aslanbek?
2023-11-14 21:00:00,"AbuBandit убил Jean-Pierre Polnareff (ИЖ-18МН, 59.43m)",ИЖ-18МН,59.43,AbuBandit,Jean-Pierre Polnareff
2023-11-14 21:00:00,"re:quiem убил SHUGANGSTER (АКС-74У, 8.08m)",АКС-74У,8.08,re:quiem,SHUGANGSTER
2023-11-14 21:00:00,"AlkoShara убил green tea (Steyr Scout, 122.31m)",Steyr Scout,122.31,AlkoShara,green tea
2023-11-14 21:00:00,"re:quiem убил AbuBandit (ИЖ-18, 1.11m)",ИЖ-18,1.11,re:quiem,AbuBandit
2023-11-14 21:04:00,"[ReDArmy]ManterZ убил Jhon Locke (Winchester Model 70, 183.3m)",Winchester Model 70,183.3,[ReDArmy]ManterZ,Jhon Locke
2023-11-14 21:06:00,"[MiX] K1sulka убил [ReDArmy]ManterZ (M14, 371.17m)",M14,371.17,[MiX] K1sulka,[ReDArmy]ManterZ
2023-11-14 21:08:00,"Aksel убил KARLSON (CZ-550 Lux, 287.81m)",CZ-550 Lux,287.81,Aksel,KARLSON
2023-11-14 21:08:00,"OBLADAET убил PANDA (Winchester Model 1892, 232.52m)",Winchester Model 1892,232.52,OBLADAET,PANDA
2023-11-14 21:11:00,"khoobas3x убил [CS]Metadon (Трубный ключ, 0.44m)",Трубный ключ,0.44,khoobas3x,[CS]Metadon
2023-11-14 21:12:00,"lucky убил chris  (CZ-527, 58.0m)",CZ-527,58.0,lucky,chris 
2023-11-14 21:12:00,"khoobas3x убил aRRa (Трубный ключ, 1.4m)",Трубный ключ,1.4,khoobas3x,aRRa
2023-11-14 21:15:00,"GG убил Dzhode (СВ-98, 130.1m)",СВ-98,130.1,GG,Dzhode
2023-11-14 21:15:00,"Winston убил Corsar (FN SCAR-L, 8.09m)",FN SCAR-L,8.09,Winston,Corsar
2023-11-14 21:15:00,"Plotva убил DaMvBubeN (CMMG Mk47 Mutant, 24.38m)",CMMG Mk47 Mutant,24.38,Plotva,DaMvBubeN
2023-11-14 21:15:00,"Zazzu убил aRRa (Тесак, 1.04m)",Тесак,1.04,Zazzu,aRRa
